time_step,Date,Time,Millitm,{::[MRT_11111]Program:MainProgram.Applicator_Chamber1_Temp},{::[MRT_11111]Program:MainProgram.Applicator_Chamber2_Temp},{::[MRT_11111]Program:MainProgram.Applicator_Chamber3_Temp},{::[MRT_11111]Program:MainProgram.Condenser_1_Inlet_Temp},{[MRT_11111]Condenser_1_GasPressure_Temp},{[MRT_11111]Condenser_2_GasPressure_Temp},{[MRT_11111]Condenser_3_GasPressure_Temp},{::[MRT_11111]Program:MainProgram.Condenser_2_Inlet_Temp},{::[MRT_11111]Program:MainProgram.Condenser_3_Inlet_Temp},{::[MRT_11111]Program:MainProgram.Applicator_Chamber1_Pressure},{::[MRT_11111]Program:MainProgram.Applicator_Chamber2_Pressure},{::[MRT_11111]Program:MainProgram.Applicator_Chamber3_Pressure},{::[MRT_11111]Program:MainProgram.Material_Height},{::[MRT_11111]Program:MainProgram.Applicator_Belt_Conveyor_Actual_HZ},{::[MRT_11111]Program:MainProgram.Oil_At_Infeed_Manifold_Temp},{::[MRT_11111]Program:MainProgram.Oil_At_Return_Manifold_Temp},{[MRT_11111]Oil_At_Exit_Screw_Manifold_Pressure},{::[MRT_11111]Program:MainProgram.Infeed_Screw_Cooling_Water_Temp},{::[MRT_11111]Program:MainProgram.Infeed_Screw_Cooling_Water_Flow},{::[MRT_11111]Program:MainProgram.Cooling_Water_Gen1_Temp},{::[MRT_11111]Program:MainProgram.Cooling_Water_Gen2_Temp}
0,-0.062523864,0.0060205273,21.071068,12.683033,13.0585575,13.39697,13.834974,14.393074,14.23957,14.504311,14.02198,15.168463,-2.7608862,-2.6952758,-2.924281,4.6216054,0.05074275,14.049899,14.057043,18.713768,-0.06344732,-0.159655,14.582529,14.4329195
1,-0.08863396,0.029682752,22.057917,13.297809,13.701163,14.051898,14.449845,15.038681,14.886269,15.214743,14.680636,15.896263,-2.8892379,-2.8758848,-3.0251338,4.8741703,-0.021067597,14.696669,14.754843,19.587423,-0.022725105,-0.13256933,15.286754,15.129529
2,-0.08864843,0.028711136,22.098736,13.323435,13.72742,14.078651,14.477749,15.066011,14.913639,15.24324,14.708234,15.926569,-2.8933637,-2.881197,-3.0298245,4.8820167,-0.022564542,14.72389,14.78202,19.624413,-0.023228534,-0.1335586,15.316521,15.157596
3,-0.08865435,0.02869552,22.100157,13.32433,13.728334,14.0795765,14.47871,15.066977,14.914591,15.244246,14.709199,15.927618,-2.8935318,-2.8813806,-3.0299733,4.8823028,-0.022617359,14.724835,14.782962,19.625706,-0.02322907,-0.13359758,15.317559,15.158576
4,-0.08865454,0.028695043,22.100208,13.324364,13.728368,14.079609,14.4787445,15.06701,14.914625,15.24428,14.709232,15.927654,-2.8935375,-2.8813868,-3.0299785,4.8823123,-0.022619195,14.724867,14.782994,19.62575,-0.023228973,-0.1335989,15.317596,15.15861
5,-0.088654555,0.028694984,22.100208,13.324364,13.728369,14.07961,14.478746,15.067011,14.914625,15.244282,14.709233,15.927655,-2.8935378,-2.8813868,-3.0299785,4.882313,-0.022619251,14.724869,14.782996,19.625751,-0.023228966,-0.13359894,15.317598,15.158611
6,-0.08865454,0.028695013,22.100208,13.324364,13.728368,14.07961,14.478746,15.067011,14.914625,15.24428,14.709233,15.927655,-2.893538,-2.8813868,-3.0299785,4.882313,-0.022619262,14.724869,14.782995,19.625753,-0.02322898,-0.13359895,15.317597,15.15861
7,-0.088654526,0.028694954,22.10021,13.324364,13.728368,14.079609,14.478746,15.067011,14.914625,15.24428,14.709234,15.927656,-2.8935378,-2.8813868,-3.0299785,4.8823123,-0.022619262,14.724869,14.782995,19.625751,-0.02322898,-0.13359898,15.317597,15.15861
8,-0.088654555,0.028694984,22.100208,13.324364,13.728369,14.07961,14.478745,15.067011,14.914625,15.244282,14.709234,15.927655,-2.8935378,-2.8813868,-3.0299785,4.882313,-0.02261927,14.724869,14.782996,19.625751,-0.023228973,-0.13359895,15.317597,15.158611
9,-0.08865457,0.028694954,22.10021,13.324364,13.728368,14.079609,14.478746,15.067011,14.914625,15.24428,14.709234,15.927655,-2.8935378,-2.8813868,-3.0299785,4.8823123,-0.02261924,14.724869,14.782996,19.625751,-0.023228973,-0.13359895,15.317596,15.15861
10,-0.08865457,0.028694984,22.100208,13.324364,13.728368,14.079609,14.478745,15.067011,14.914625,15.244282,14.709234,15.927655,-2.893538,-2.8813868,-3.0299785,4.882313,-0.022619285,14.724869,14.782996,19.625751,-0.02322898,-0.13359895,15.317597,15.158611
